Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Cote d'Ivoire,CIV,2022,Agricultural land (% of land area),AG.LND.AGRI.ZS,84.1568125786164
Cote d'Ivoire,CIV,2021,Agricultural land (% of land area),AG.LND.AGRI.ZS,84.3928672955975
Cote d'Ivoire,CIV,2020,Agricultural land (% of land area),AG.LND.AGRI.ZS,82.6258229559748
Cote d'Ivoire,CIV,2019,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.5248
Cote d'Ivoire,CIV,2018,Agricultural land (% of land area),AG.LND.AGRI.ZS,81.3420738993711
Cote d'Ivoire,CIV,2017,Agricultural land (% of land area),AG.LND.AGRI.ZS,77.7044808176101
Cote d'Ivoire,CIV,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,75.4266364779874
Cote d'Ivoire,CIV,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,76.9368119496855
Cote d'Ivoire,CIV,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,72.5917201257862
Cote d'Ivoire,CIV,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,70.8868805031447
Cote d'Ivoire,CIV,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,68.963858490566
Cote d'Ivoire,CIV,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.200179245283
Cote d'Ivoire,CIV,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.7358081761006
Cote d'Ivoire,CIV,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.6981257861635
Cote d'Ivoire,CIV,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.7955125786164
Cote d'Ivoire,CIV,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,66.0606006289308
Cote d'Ivoire,CIV,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,65.0364025157233
Cote d'Ivoire,CIV,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,64.1655880503145
Cote d'Ivoire,CIV,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,63.403606918239
Cote d'Ivoire,CIV,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.0849088050314
Cote d'Ivoire,CIV,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.9599433962264
Cote d'Ivoire,CIV,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,60.5841698113208
Cote d'Ivoire,CIV,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.124572327044
Cote d'Ivoire,CIV,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.8879308176101
Cote d'Ivoire,CIV,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.6021855345912
Cote d'Ivoire,CIV,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,61.3082012578616
Cote d'Ivoire,CIV,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.0582044025157
Cote d'Ivoire,CIV,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,62.1001572327044
