Country Name,Year,Indicator Name,Value
Cote d'Ivoire,2022,Agricultural land (% of land area),84.15681258
Cote d'Ivoire,2021,Agricultural land (% of land area),84.3928673
Cote d'Ivoire,2020,Agricultural land (% of land area),82.62582296
Cote d'Ivoire,2019,Agricultural land (% of land area),81.5248
Cote d'Ivoire,2018,Agricultural land (% of land area),81.3420739
Cote d'Ivoire,2017,Agricultural land (% of land area),77.70448082
Cote d'Ivoire,2016,Agricultural land (% of land area),75.42663648
Cote d'Ivoire,2015,Agricultural land (% of land area),76.93681195
Cote d'Ivoire,2014,Agricultural land (% of land area),72.59172013
Cote d'Ivoire,2013,Agricultural land (% of land area),70.8868805
Cote d'Ivoire,2012,Agricultural land (% of land area),68.96385849
Cote d'Ivoire,2011,Agricultural land (% of land area),66.20017925
Cote d'Ivoire,2010,Agricultural land (% of land area),65.73580818
Cote d'Ivoire,2009,Agricultural land (% of land area),65.69812579
Cote d'Ivoire,2008,Agricultural land (% of land area),65.79551258
Cote d'Ivoire,2007,Agricultural land (% of land area),66.06060063
Cote d'Ivoire,2006,Agricultural land (% of land area),65.03640252
Cote d'Ivoire,2005,Agricultural land (% of land area),64.16558805
Cote d'Ivoire,2004,Agricultural land (% of land area),63.40360692
Cote d'Ivoire,2003,Agricultural land (% of land area),61.08490881
Cote d'Ivoire,2002,Agricultural land (% of land area),60.9599434
Cote d'Ivoire,2001,Agricultural land (% of land area),60.58416981
Cote d'Ivoire,2000,Agricultural land (% of land area),62.12457233
Cote d'Ivoire,1999,Agricultural land (% of land area),61.88793082
Cote d'Ivoire,1998,Agricultural land (% of land area),61.60218553
Cote d'Ivoire,1997,Agricultural land (% of land area),61.30820126
Cote d'Ivoire,1996,Agricultural land (% of land area),62.0582044
Cote d'Ivoire,1995,Agricultural land (% of land area),62.10015723
Cote d'Ivoire,1994,Agricultural land (% of land area),59.76745283
Cote d'Ivoire,1993,Agricultural land (% of land area),61.32704403
Cote d'Ivoire,1992,Agricultural land (% of land area),58.63146226
Cote d'Ivoire,1991,Agricultural land (% of land area),58.58566352
Cote d'Ivoire,1990,Agricultural land (% of land area),59.92860377
Cote d'Ivoire,1989,Agricultural land (% of land area),58.26861321
Cote d'Ivoire,1988,Agricultural land (% of land area),59.15861006
Cote d'Ivoire,1987,Agricultural land (% of land area),57.91638365
Cote d'Ivoire,1986,Agricultural land (% of land area),57.60220755
Cote d'Ivoire,1985,Agricultural land (% of land area),57.2657673
Cote d'Ivoire,1984,Agricultural land (% of land area),56.29245283
Cote d'Ivoire,1983,Agricultural land (% of land area),55.29559748
Cote d'Ivoire,1982,Agricultural land (% of land area),55.30939937
Cote d'Ivoire,1981,Agricultural land (% of land area),54.89841509
Cote d'Ivoire,1980,Agricultural land (% of land area),54.46791824
Cote d'Ivoire,1979,Agricultural land (% of land area),54.37183333
Cote d'Ivoire,1978,Agricultural land (% of land area),54.25586164
Cote d'Ivoire,1977,Agricultural land (% of land area),53.88370126
